"e0","year","isono","sexno","ageno","eduno"
64.3,1985,214,1,0,0
66.5,1990,214,1,0,0
67.2,1995,214,1,0,0
68.1,2000,214,1,0,0
69.2,2005,214,1,0,0
70.2,2010,214,1,0,0
47.4,1950,218,1,0,0
50.3,1955,218,1,0,0
53.4,1960,218,1,0,0
55.4,1965,218,1,0,0
57.4,1970,218,1,0,0
59.9,1975,218,1,0,0
62.5,1980,218,1,0,0
65.4,1985,218,1,0,0
67.6,1990,218,1,0,0
69.2,1995,218,1,0,0
70.7,2000,218,1,0,0
71.7,2005,218,1,0,0
72.8,2010,218,1,0,0
40.6,1950,818,1,0,0
45.3,1955,818,1,0,0
47.9,1960,818,1,0,0
49.9,1965,818,1,0,0
51.1,1970,818,1,0,0
54.7,1975,818,1,0,0
57.7,1980,818,1,0,0
61.2,1985,818,1,0,0
63.1,1990,818,1,0,0
65.6,1995,818,1,0,0
66.7,2000,818,1,0,0
67.6,2005,818,1,0,0
68.7,2010,818,1,0,0
41.8,1950,222,1,0,0
45.8,1955,222,1,0,0
49.3,1960,222,1,0,0
51.3,1965,222,1,0,0
52.6,1970,222,1,0,0
51.8,1975,222,1,0,0
51.8,1980,222,1,0,0
56.5,1985,222,1,0,0
61.6,1990,222,1,0,0
63.5,1995,222,1,0,0
65,2000,222,1,0,0
66.4,2005,222,1,0,0
67.9,2010,222,1,0,0
33,1950,226,1,0,0
34.5,1955,226,1,0,0
36,1960,226,1,0,0
37.5,1965,226,1,0,0
39,1970,226,1,0,0
40.5,1975,226,1,0,0
44,1980,226,1,0,0
45.7,1985,226,1,0,0
47.8,1990,226,1,0,0
50.3,1995,226,1,0,0
52.3,2000,226,1,0,0
53.8,2005,226,1,0,0
55.5,2010,226,1,0,0
32.8,1950,232,1,0,0
35.3,1955,232,1,0,0
38.6,1960,232,1,0,0
40.6,1965,232,1,0,0
42.4,1970,232,1,0,0
44.3,1975,232,1,0,0
45.7,1980,232,1,0,0
47.2,1985,232,1,0,0
49,1990,232,1,0,0
52.3,1995,232,1,0,0
54.7,2000,232,1,0,0
58.7,2005,232,1,0,0
61.4,2010,232,1,0,0
57.1,1950,233,1,0,0
62.4,1955,233,1,0,0
64.9,1960,233,1,0,0
65.7,1965,233,1,0,0
